term,definition,category,difficulty,aliases
Kubernetes,Platform for managing containerized applications,DevOps,Intermediate,k8s
CI/CD,Automated software build testing and deployment process,DevOps,Beginner,"continuous integration,continuous delivery"
Docker,Platform for developing shipping and running applications in containers,DevOps,Beginner,
Terraform,Infrastructure as code tool for building changing and versioning infrastructure,DevOps,Intermediate,
Ansible,IT automation tool for configuration management and application deployment,DevOps,Intermediate,
Jenkins,Open source automation server for building and deploying software,DevOps,Beginner,
Prometheus,Systems monitoring and alerting toolkit,DevOps,Intermediate,
Grafana,Open source analytics and interactive visualization web application,DevOps,Intermediate,
Git,Distributed version control system for tracking changes in source code,DevOps,Beginner,
GitHub,Web-based hosting service for version control using Git,DevOps,Beginner,
GitLab,Web-based DevOps lifecycle tool that provides a Git-repository manager,DevOps,Beginner,
Microservices,Architectural style that structures an application as a collection of services,Backend,Intermediate,
API,Application Programming Interface for software applications to communicate,Backend,Beginner,application programming interface
REST,Representational State Transfer architectural style for web services,Backend,Beginner,
GraphQL,Data query and manipulation language for APIs,Backend,Intermediate,
gRPC,High performance open source universal RPC framework,Backend,Advanced,
PostgreSQL,Open source object-relational database system,Backend,Beginner,
MySQL,Open-source relational database management system,Backend,Beginner,
MongoDB,Source-available cross-platform document-oriented database program,Backend,Beginner,
Redis,In-memory data structure store used as a database cache and message broker,Backend,Intermediate,
Kafka,Distributed event streaming platform,Backend,Advanced,
RabbitMQ,Open-source message-broker software,Backend,Intermediate,
Node.js,JavaScript runtime built on Chrome's V8 JavaScript engine,Backend,Beginner,
Django,High-level Python web framework,Backend,Beginner,
Spring Boot,Java-based framework used to create stand-alone Spring applications,Backend,Intermediate,
AWS,Amazon Web Services comprehensive cloud platform,Cloud,Beginner,
Azure,Microsoft's public cloud computing platform,Cloud,Beginner,
GCP,Google Cloud Platform suite of cloud computing services,Cloud,Beginner,
S3,Amazon Simple Storage Service,Cloud,Beginner,
EC2,Amazon Elastic Compute Cloud,Cloud,Beginner,
Lambda,Serverless computing service provided by AWS,Cloud,Intermediate,
VPC,Virtual Private Cloud,Cloud,Intermediate,
CloudFront,Fast content delivery network service by AWS,Cloud,Beginner,
Route 53,Scalable cloud Domain Name System web service,Cloud,Beginner,
CloudFormation,Service that helps you model and set up your AWS resources,Cloud,Advanced,
IAM,Identity and Access Management,Cloud,Intermediate,
Machine Learning,Study of computer algorithms that improve automatically through experience,AI,Beginner,
Deep Learning,Subset of machine learning based on artificial neural networks,AI,Intermediate,
Neural Network,Computing systems inspired by the biological neural networks,AI,Intermediate,
